Species	HexCode
Aspergillus_aculeatinus	#FFE6E6
Aspergillus_aculeatus	#FFD9D9
Aspergillus_alliaceus	#FFCCCC
Aspergillus_arachidicola	#FFBFBF
Aspergillus_avenaceus	#FFB3B3
Aspergillus_awamori	#FFA6A6
Aspergillus_bertholletiae	#FF9999
Aspergillus_bombycis	#FF8C8C
Aspergillus_brasiliensis	#FF8080
Aspergillus_brunneoviolaceus	#FF7373
Aspergillus_caelatus	#FF6666
Aspergillus_campestris	#FF5959
Aspergillus_candidus	#FF4D4D
Aspergillus_carbonarius	#FF4040
Aspergillus_clavatus	#FF3333
Aspergillus_coremiiformis	#FF2626
Aspergillus_costaricensis	#FF1919
Aspergillus_cristatus	#FF0D0D
Aspergillus_ellipticus	#F20000
Aspergillus_eucalypticola	#E60000
Aspergillus_felis	#D90000
Aspergillus_fijiensis	#CC0000
Aspergillus_fischeri	#BF0000
Aspergillus_flavus	#B30000
Aspergillus_fumigatiaffinis	#A60000
Aspergillus_fumigatus	#990000
Aspergillus_glaucus	#8C0000
Aspergillus_heteromorphus	#800000
Aspergillus_hiratsukae	#730000
Aspergillus_homomorphus	#660000
Aspergillus_ibericus	#590000
Aspergillus_indologenus	#AC5959
Aspergillus_japonicus	#A64D4D
Aspergillus_lentulus	#A04040
Aspergillus_leporis	#993333
Aspergillus_luchuensis	#932626
Aspergillus_minisclerotigenes	#8D1919
Aspergillus_mulundensis	#860D0D
Aspergillus_neoniger	#7A0000
Aspergillus_nidulans	#730000
Aspergillus_niger	#6D0000
Aspergillus_nomiae	#FFA333
Aspergillus_novofumigatus	#FF9D26
Aspergillus_novoparasiticus	#FF9819
Aspergillus_ochraceoroseus	#FF920D
Aspergillus_oryzae	#F28500
Aspergillus_parasiticus	#E67E00
Aspergillus_phoenicis	#D97700
Aspergillus_piperis	#CC7000
Aspergillus_pseudocaelatus	#BF6900
Aspergillus_pseudonomius	#B36200
Aspergillus_pseudotamarii	#A65B00
Aspergillus_rambellii	#995400
Aspergillus_ruber	#8C4D00
Aspergillus_saccharolyticus	#FFE8CC
Aspergillus_sclerotioniger	#FFE2BF
Aspergillus_sergii	#FFDDB3
Aspergillus_steynii	#FFD7A6
Aspergillus_sydowii	#FFD199
Aspergillus_taichungensis	#FFCB8C
Aspergillus_tamarii	#FC6A88
Aspergillus_tanneri	#FC7591
Aspergillus_thermomutatus	#FB5F80
Aspergillus_transmontanensis	#FB5577
Aspergillus_tubingensis	#FB4A6F
Aspergillus_turcosus	#FB3F66
Aspergillus_udagawae	#FA355E
Aspergillus_uvarum	#EE2851
Aspergillus_vadensis	#E1264D
Aspergillus_versicolor	#D52448
Aspergillus_welwitschiae	#D52448
Penicilliopsis_zonata	#4D4DFF
Penicillium_arizonense	#4040FF
Penicillium_brasilianum	#3333FF
Penicillium_camemberti	#2626FF
Penicillium_chrysogenum	#1919FF
Penicillium_coprophilum	#0D0DFF
Penicillium_decumbens	#0000F2
Penicillium_digitatum	#0000E6
Penicillium_expansum	#0000D9
Penicillium_griseofulvum	#0000CC
Penicillium_italicum	#0000BF
Penicillium_nordicum	#0000B3
Penicillium_oxalicum	#0000A6
Penicillium_polonicum	#000099
Penicillium_rolfsii	#00008C
Penicillium_roqueforti	#5959FF
Penicillium_rubens	#6666FF
Penicillium_steckii	#7373FF
Penicillium_vulpinum	#8080FF
Talaromyces_atroroseus	#40A040
Talaromyces_cellulolyticus	#339933
Talaromyces_islandicus	#269326
Talaromyces_marneffei	#198D19
Talaromyces_pinophilus	#0D860D
Talaromyces_stipitatus	#007A00
Talaromyces_verruculosus	#007300
